"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.407157102E1,1.275640726E-1,-1.022614479E0,1.542534828E-1
1.409625974E1,1.092174053E-1,-1.175269127E0,1.419644356E-1
1.412097898E1,5.089473724E-2,-1.238709450E0,1.485290527E-1
1.414563718E1,3.079521656E-2,-1.239834785E0,1.421189308E-1
1.417032590E1,-3.358668089E-2,-1.126360893E0,1.323411465E-1
1.419501462E1,-7.702744007E-2,-9.612159729E-1,9.434342384E-2
1.421970334E1,-1.368604302E-1,-7.014522552E-1,6.158924103E-2
1.424439206E1,-1.803489327E-1,-4.074954987E-1,-1.826286316E-4
1.426908078E1,-2.624368370E-1,-9.647083282E-2,-7.305836678E-2
1.429376950E1,-3.431871533E-1,2.195234299E-1,-1.318187714E-1
1.431845822E1,-3.751425445E-1,5.356101990E-1,-1.407747269E-1
1.434314695E1,-4.086479843E-1,7.922496796E-1,-1.670126915E-1
1.436783567E1,-3.757751584E-1,1.025731087E0,-2.219088078E-1
1.439252439E1,-3.677375317E-1,1.155291557E0,-1.896519661E-1
1.441721311E1,-2.990218997E-1,1.222320557E0,-1.939353943E-1
1.444190183E1,-2.152485251E-1,1.188760757E0,-2.018034458E-1
1.446659055E1,-1.059747934E-1,1.083845139E0,-1.804151535E-1
1.449127927E1,-1.782655716E-2,9.125747681E-1,-1.902596951E-1
1.451593747E1,3.787428141E-2,6.419696808E-1,-1.276612282E-1
1.454065671E1,9.177339077E-2,3.634910583E-1,-5.345129967E-2
1.456531491E1,1.390596032E-1,2.003765106E-2,-2.818441391E-2
1.459000364E1,1.809909940E-1,-2.206707001E-1,3.059697151E-2
1.461469236E1,1.799402833E-1,-5.692129135E-1,1.474378109E-1
1.463938108E1,2.138882279E-1,-8.056068420E-1,1.673424244E-1
1.466406980E1,1.663416028E-1,-9.926824570E-1,1.663649082E-1
1.468875852E1,1.284779906E-1,-1.128505707E0,2.015738487E-1
1.471344724E1,1.316630840E-1,-1.194377899E0,2.396280766E-1
1.473813596E1,8.430814743E-2,-1.150151253E0,2.128152847E-1
1.476282468E1,7.594263554E-2,-1.022634506E0,1.925737858E-1
1.478751340E1,6.580471992E-3,-8.241672516E-1,1.761624813E-1
1.481220212E1,-1.821678877E-2,-5.959072113E-1,1.573944092E-1
1.483689084E1,-8.946874738E-2,-3.024044037E-1,5.179095268E-2
1.486157956E1,-1.650425792E-1,8.123397827E-3,1.589035988E-2
1.488626828E1,-2.094112933E-1,3.067741394E-1,-6.591701508E-2
1.491095700E1,-2.852592170E-1,5.648698807E-1,-1.034073830E-1
1.493564572E1,-3.186382353E-1,8.114128113E-1,-1.006050110E-1
1.496030393E1,-3.519825935E-1,1.027835846E0,-1.282656193E-1
1.498499265E1,-3.379672170E-1,1.130884171E0,-1.235396862E-1
1.500968137E1,-2.645078003E-1,1.195172310E0,-1.702368259E-1
