"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.802134299E1,5.292689800E-2,9.982299805E-1,-3.684663773E-1
1.804603171E1,2.928280830E-2,1.042057991E0,-3.499813080E-1
1.807072043E1,5.540591478E-2,9.777221680E-1,-3.400893211E-1
1.809540915E1,8.087158203E-2,7.937679291E-1,-2.749669552E-1
1.812009787E1,8.940273523E-2,4.764127731E-1,-1.596877575E-1
1.814478659E1,1.501606703E-1,1.413812637E-1,-4.661226273E-2
1.816947531E1,1.179563999E-1,-2.206716537E-1,7.208275795E-2
1.819413351E1,1.150548458E-1,-5.689096451E-1,2.392895222E-1
1.821882223E1,1.199585795E-1,-8.602104187E-1,3.054156303E-1
1.824351096E1,1.233097911E-1,-1.015989304E0,3.839190006E-1
1.826819968E1,1.370431781E-1,-1.022393227E0,4.488551617E-1
1.829288840E1,1.159391999E-1,-9.610967636E-1,3.557214737E-1
1.831757712E1,6.435602903E-2,-7.757406235E-1,2.531657219E-1
1.834226584E1,1.574823260E-2,-4.456186295E-1,2.003374100E-1
1.836695456E1,-8.577674627E-3,-1.172714233E-1,2.002429962E-2
1.839164328E1,-6.992256641E-2,2.286005020E-1,-1.335799694E-1
1.841633200E1,-6.624051929E-2,5.720119476E-1,-2.633357048E-1
1.844102072E1,-1.020242572E-1,8.126897812E-1,-3.742299080E-1
1.846570944E1,-1.146095097E-1,9.993581772E-1,-3.991298676E-1
1.849039816E1,-1.601572335E-1,1.012476921E0,-4.664928913E-1
1.851508688E1,-1.399878561E-1,9.389801025E-1,-4.070775509E-1
1.853977560E1,-1.421665251E-1,6.965017319E-1,-3.412814140E-1
1.856446432E1,-1.424752176E-1,4.078464508E-1,-2.187316418E-1
1.858912253E1,-1.208830923E-1,6.364822388E-2,-9.545063972E-2
1.861381125E1,-1.297871917E-1,-2.825193405E-1,4.472494125E-3
1.863849997E1,-1.070530415E-1,-6.236629486E-1,1.694152355E-1
1.866318869E1,-1.126349717E-1,-8.407850266E-1,2.311604023E-1
1.868787741E1,-1.226135790E-1,-1.018159866E0,2.977931499E-1
1.871256613E1,-1.372353882E-1,-1.038515091E0,2.850184441E-1
1.873725485E1,-1.426109523E-1,-9.485731125E-1,2.667577267E-1
1.876194357E1,-1.483044773E-1,-7.130613327E-1,2.143945694E-1
1.878663229E1,-1.298812479E-1,-4.088630676E-1,1.219203472E-1
1.881132101E1,-1.744807810E-1,-6.271171570E-2,6.527185440E-3
1.883600973E1,-1.979081482E-1,2.675647736E-1,-1.398131847E-1
1.886069846E1,-2.099775374E-1,5.841903687E-1,-2.340197563E-1
1.888538718E1,-2.224389762E-1,8.417520523E-1,-4.229118824E-1
