"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.315808854E1,-2.703972906E-2,6.943883896E-1,-2.408905029E-1
1.318277726E1,-2.398873866E-2,3.659000397E-1,-1.433215141E-1
1.320746598E1,3.326000273E-2,1.092433929E-2,-3.910875320E-2
1.323215470E1,8.763950318E-2,-3.512392044E-1,1.006844044E-1
1.325684342E1,6.985280663E-2,-6.582107544E-1,1.956381798E-1
1.328153214E1,8.760157228E-2,-9.510097504E-1,2.745597363E-1
1.330622086E1,8.767662942E-2,-1.110363007E0,3.279583454E-1
1.333090958E1,1.296316236E-1,-1.199243546E0,3.177824020E-1
1.335559830E1,1.009883136E-1,-1.144334793E0,3.008863926E-1
1.338025650E1,1.309133470E-1,-1.013540268E0,2.858836651E-1
1.340494522E1,1.721364558E-1,-7.214698792E-1,2.156007290E-1
1.342963395E1,1.313366741E-1,-4.530143738E-1,1.494634151E-1
1.345432267E1,1.409318596E-1,-6.959152222E-2,3.513765335E-2
1.347901139E1,1.685846746E-1,2.589645386E-1,-3.580069542E-2
1.350370011E1,1.790873855E-1,5.947513580E-1,-1.089816093E-1
1.352838883E1,1.589638293E-1,8.853034973E-1,-1.797783375E-1
1.355307755E1,1.563675106E-1,1.099917412E0,-2.104563713E-1
1.357776627E1,1.189593524E-1,1.207809448E0,-2.736909389E-1
1.360245499E1,8.869300783E-2,1.187846184E0,-1.814620495E-1
1.362714371E1,4.256720096E-2,1.088618279E0,-1.756043434E-1
1.365183243E1,-9.211085737E-3,8.654613495E-1,-1.243636608E-1
1.367652115E1,-6.434815377E-2,5.545816422E-1,-3.566169739E-2
1.370120987E1,-8.191294968E-2,2.238578796E-1,5.585646629E-2
1.372589859E1,-1.038102210E-1,-1.101617813E-1,1.397867203E-1
1.375058732E1,-1.199537665E-1,-4.735832214E-1,2.358176708E-1
1.377527604E1,-1.335732192E-1,-7.589578629E-1,3.222994804E-1
1.379993424E1,-1.247452199E-1,-9.881019592E-1,3.827505112E-1
1.382462296E1,-1.305716932E-1,-1.130170822E0,3.841760159E-1
1.384931168E1,-1.329423487E-1,-1.140470505E0,3.459973335E-1
1.387400040E1,-1.521074921E-1,-1.060240746E0,3.446569443E-1
1.389868912E1,-1.309754997E-1,-8.615856171E-1,2.628948689E-1
1.392337784E1,-1.405549198E-1,-6.164913177E-1,1.957268715E-1
1.394806656E1,-8.357724547E-2,-2.846632004E-1,2.326369286E-2
1.397275528E1,-1.005063057E-1,5.222892761E-2,-6.973099709E-2
1.399744400E1,-1.000612378E-1,4.035100937E-1,-1.816890240E-1
1.402213272E1,-6.257072091E-2,7.000904083E-1,-2.595608234E-1
1.404682145E1,-4.771828651E-2,9.134073257E-1,-3.473346233E-1
1.407151017E1,-5.058002472E-2,1.103626251E0,-3.785278797E-1
1.409619889E1,-5.959159136E-2,1.158943176E0,-3.835611343E-1
1.412088761E1,-4.388675094E-2,1.077960968E0,-4.048388004E-1
1.414557633E1,-4.621455073E-2,9.190168381E-1,-3.339409828E-1
1.417026505E1,-6.407883763E-2,6.803836823E-1,-2.661631107E-1
1.419495377E1,-5.829754472E-2,3.934497833E-1,-1.922094822E-1
1.421964249E1,-7.378551364E-2,1.300144196E-2,-1.032485962E-1
1.424433121E1,-7.234117389E-2,-2.886314392E-1,-2.782082558E-2
1.426898941E1,-1.301620007E-1,-6.215353012E-1,7.454180717E-2
1.429370865E1,-1.136052608E-1,-8.711109161E-1,1.965591908E-1
1.431836686E1,-1.146940887E-1,-1.061368942E0,2.320702076E-1
1.434305558E1,-1.509999037E-1,-1.147211075E0,2.319355011E-1
1.436774430E1,-1.807402968E-1,-1.110200882E0,2.413241863E-1
1.439243302E1,-1.813406348E-1,-1.003410339E0,1.914310455E-1
1.441712174E1,-1.487724781E-1,-7.871837616E-1,1.313233376E-1
1.444184098E1,-1.659511179E-1,-4.907484055E-1,5.367112160E-2
1.446649918E1,-1.606484503E-1,-1.599531174E-1,-6.556773186E-2
1.449118790E1,-1.521449834E-1,1.522750854E-1,-1.664299965E-1
