"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.721160292E1,4.708209634E-2,8.425397873E-1,-7.802033424E-2
2.723632216E1,7.264545560E-2,6.518783569E-1,-8.314561844E-2
2.726101088E1,5.210804939E-2,3.907546997E-1,-7.959485054E-2
2.728566908E1,2.252641320E-2,9.785366058E-2,-3.665304184E-2
2.731035780E1,2.110481262E-2,-2.385349274E-1,1.750850677E-2
2.733507704E1,-8.147567511E-3,-5.322322845E-1,3.972744942E-2
2.735976576E1,2.038410306E-2,-7.524452209E-1,8.725202084E-2
2.738445448E1,1.993167400E-2,-9.091606140E-1,7.698571682E-2
2.740914320E1,-5.222529173E-3,-9.311742783E-1,8.392655849E-2
2.743383193E1,1.609453559E-2,-8.766956329E-1,7.158064842E-2
2.745852065E1,3.392663598E-2,-6.553363800E-1,6.210708618E-2
2.748323988E1,3.801006079E-2,-4.329910278E-1,-6.428599358E-3
2.750792860E1,6.929808855E-2,-9.724235535E-2,-5.194091797E-2
2.753261733E1,8.936366439E-2,2.319860458E-1,-7.475149632E-2
2.755730605E1,9.233963490E-2,5.237178802E-1,-1.149561405E-1
2.758202528E1,1.366836429E-1,7.446842194E-1,-1.383732557E-1
2.760671400E1,1.305525601E-1,8.955097198E-1,-1.494497061E-1
2.763137221E1,1.423597336E-1,9.192180634E-1,-1.582573652E-1
2.765609145E1,1.305208206E-1,8.045673370E-1,-1.506364346E-1
2.768078017E1,1.682638526E-1,6.287364960E-1,-1.666594744E-1
2.770546889E1,1.019249260E-1,3.538093567E-1,-9.796488285E-2
2.773018813E1,9.202584624E-2,4.489898682E-2,-4.328155518E-2
2.775487685E1,4.602271318E-2,-2.668828964E-1,4.239201546E-3
2.777953505E1,-1.626288891E-2,-5.696277618E-1,4.632329941E-2
2.780425429E1,-1.318332553E-2,-8.013410568E-1,8.499312401E-2
2.782894301E1,-6.397974491E-2,-9.027452469E-1,1.082320213E-1
2.785363173E1,-1.006036103E-1,-9.293823242E-1,1.019062996E-1
2.787832045E1,-1.049034297E-1,-8.054122925E-1,1.122177839E-1
2.790300917E1,-9.403651953E-2,-6.294736862E-1,1.078399420E-1
2.792772841E1,-6.745174527E-2,-3.279285431E-1,6.991207600E-2
