"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.819432493E1,-3.198452294E-2,-4.545631409E-1,1.671791077E-1
1.821898313E1,-8.666619658E-3,-5.988092422E-1,2.180237770E-1
1.824367185E1,-3.390794992E-2,-7.490806580E-1,2.933681011E-1
1.826836058E1,9.818539023E-3,-7.978105545E-1,2.836201191E-1
1.829304930E1,9.860903025E-3,-7.503948212E-1,2.990987301E-1
1.831773802E1,3.819599748E-2,-6.743764877E-1,2.746865749E-1
1.834242674E1,6.704802811E-2,-5.676612854E-1,2.009856701E-1
1.836711546E1,3.899046779E-2,-3.543357849E-1,1.659343243E-1
1.839180418E1,5.226841569E-2,-1.590614319E-1,8.815217018E-2
1.841649290E1,6.812661886E-2,6.828880310E-2,1.017189026E-2
1.844118162E1,7.937508821E-2,2.940587997E-1,-7.761764526E-2
1.846587034E1,4.708786309E-2,5.039291382E-1,-1.060576439E-1
1.849055906E1,6.642322242E-2,6.549453735E-1,-1.688518524E-1
1.851524778E1,5.803029984E-2,7.664327621E-1,-1.949477196E-1
1.853993650E1,3.060968965E-2,8.146095276E-1,-2.188317776E-1
1.856462522E1,1.044657081E-2,7.831277847E-1,-1.852276325E-1
1.858931394E1,1.434095204E-2,6.843862534E-1,-1.404275894E-1
1.861400266E1,2.281811833E-2,5.521802902E-1,-1.008179188E-1
1.863866087E1,4.837535322E-3,3.559532166E-1,-6.598925591E-2
1.866334959E1,-7.140398026E-3,1.153488159E-1,2.562880516E-2
1.868803831E1,-3.023496270E-2,-1.059217453E-1,8.367466927E-2
1.871272703E1,-5.493262410E-2,-3.307132721E-1,2.377951145E-1
1.873741575E1,-2.543590963E-2,-5.044679642E-1,2.364330292E-1
1.876210447E1,-2.354416251E-2,-6.870756149E-1,2.786257267E-1
1.878679319E1,-4.660424590E-2,-7.424373627E-1,3.241128922E-1
1.881148191E1,-4.911817610E-2,-7.569923401E-1,3.158714771E-1
1.883617063E1,-6.471696496E-2,-7.335519791E-1,3.475229740E-1
1.886085935E1,-4.039399326E-2,-6.078433990E-1,2.374696732E-1
1.888554808E1,-6.725412607E-2,-4.114561081E-1,2.179164886E-1
1.891023680E1,-5.382791162E-2,-2.354326248E-1,1.166458130E-1
1.893492552E1,-6.887760758E-2,-5.366706848E-2,7.528233528E-2
1.895961424E1,-4.267653823E-2,1.960868835E-1,-2.821564674E-2
1.898430296E1,-1.997032762E-2,4.300260544E-1,-1.551401615E-1
1.900899168E1,2.305209637E-3,5.909337997E-1,-1.839547157E-1
1.903368040E1,-3.012606502E-2,7.171564102E-1,-1.984012127E-1
1.905836912E1,-7.080167532E-3,7.853927612E-1,-3.126142025E-1
1.908305784E1,-2.661198378E-3,7.865009308E-1,-2.734026909E-1
1.910771604E1,-3.877055645E-2,6.729536057E-1,-2.988517284E-1
1.913240476E1,-5.392438173E-2,5.768165588E-1,-3.047854900E-1
1.915712400E1,-6.541359425E-2,3.811321259E-1,-2.440929413E-1
1.918178221E1,-9.742236137E-2,1.675281525E-1,-2.218093872E-1
1.920647093E1,-1.167287230E-1,-6.980419159E-2,-1.161832809E-1
1.923115965E1,-1.150561571E-1,-2.803049088E-1,-3.902816772E-2
1.925584837E1,-1.304597259E-1,-4.941549301E-1,-1.679182053E-2
1.928053709E1,-1.363625824E-1,-6.658391953E-1,6.129693985E-2
1.930522581E1,-1.255680323E-1,-7.550306320E-1,7.829666138E-2
1.932991453E1,-1.407680809E-1,-8.168754578E-1,1.353158951E-1
1.935460325E1,-1.102156043E-1,-7.586450577E-1,1.292939186E-1
1.937929197E1,-1.416184306E-1,-6.932325363E-1,1.225767136E-1
1.940398069E1,-9.332314134E-2,-5.659399033E-1,8.890700340E-2
1.942866941E1,-1.283396482E-1,-3.698806763E-1,2.357006073E-3
1.945332762E1,-1.147038341E-1,-1.639537811E-1,-3.149890900E-2
1.947801634E1,-9.165447950E-2,4.655838013E-2,-7.141828537E-2
1.950270506E1,-6.909745932E-2,2.925405502E-1,-1.223299503E-1
1.952739378E1,-7.246243954E-2,4.992771149E-1,-1.641042233E-1
1.955208250E1,-1.862356067E-2,6.574497223E-1,-2.589542866E-1
1.957677122E1,-2.498477697E-3,7.075433731E-1,-2.399435043E-1
1.960145994E1,-1.063644886E-4,7.551574707E-1,-2.723305225E-1
1.962614866E1,1.267254353E-3,7.025041580E-1,-2.627432346E-1
1.965083738E1,4.021760821E-2,6.242885590E-1,-2.515993118E-1
1.967552610E1,3.830483556E-2,4.658622742E-1,-2.101242542E-1
1.970021482E1,4.569071531E-2,2.586221695E-1,-1.988213062E-1
1.972490354E1,3.088426590E-2,7.206249237E-2,-1.222829819E-1
1.974959226E1,3.570407629E-3,-1.823921204E-1,-2.830028534E-2
1.977428098E1,2.790375054E-2,-3.828811646E-1,2.867197990E-2
1.979896971E1,1.675808430E-2,-5.245256424E-1,5.704236031E-2
1.982365843E1,3.725886345E-4,-7.009181976E-1,1.237578392E-1
1.984834715E1,-7.669687271E-3,-7.758789062E-1,1.668386459E-1
1.987303587E1,-1.937732100E-2,-7.596082687E-1,1.834473610E-1
1.989772459E1,7.986545563E-3,-6.956176758E-1,1.903836727E-1
1.992241331E1,-1.194503903E-2,-5.820503235E-1,1.892583370E-1
1.994710203E1,-1.219496131E-2,-4.145116806E-1,1.565089226E-1
1.997176023E1,-1.651651412E-2,-2.076339722E-1,1.035954952E-1
1.999644895E1,-1.038628072E-2,-1.927375793E-3,8.079695702E-2
2.002113767E1,4.352895916E-2,2.400712967E-1,3.893971443E-2
2.004582640E1,-4.734724760E-3,4.590301514E-1,-1.541709900E-2
2.007051512E1,2.364636958E-2,5.999526978E-1,-5.156159401E-2
2.009520384E1,1.875711977E-2,7.370767593E-1,-6.082320213E-2
2.011989256E1,2.031609416E-3,7.774887085E-1,-5.766272545E-2
2.014458128E1,1.121640950E-2,7.789573669E-1,-4.702687263E-2
2.016927000E1,8.137822151E-4,7.059707642E-1,-5.540466309E-2
2.019395872E1,1.919057965E-2,5.997419357E-1,-3.653645515E-2
2.021864744E1,6.178890169E-2,4.151887894E-1,1.626634598E-2
2.024333616E1,3.313966095E-2,1.853952408E-1,5.187106133E-2
2.026802488E1,4.009075463E-2,-3.786182404E-2,1.057920456E-1
2.029271360E1,2.908934653E-2,-2.392187119E-1,1.086146832E-1
2.031740232E1,3.145483136E-2,-4.710483551E-1,1.332278252E-1
2.034209104E1,2.396701276E-2,-5.991201401E-1,1.660530567E-1
2.036674925E1,1.104469597E-2,-6.955194473E-1,2.146196365E-1
2.039143797E1,1.018673182E-2,-7.269926071E-1,2.030346394E-1
2.041612669E1,-2.005341649E-2,-7.011270523E-1,1.766960621E-1
2.044081541E1,-4.154950380E-2,-6.232900620E-1,1.496198177E-1
2.046550413E1,-4.289311171E-2,-4.865722656E-1,1.052682400E-1
2.049019285E1,-5.800610781E-2,-3.127536774E-1,6.243443489E-2
2.051488157E1,-4.795750976E-2,-1.023206711E-1,-2.656006813E-2
2.053957029E1,-7.169184089E-2,1.236009598E-1,-5.961132050E-2
2.056425901E1,-8.267399669E-2,3.170652390E-1,-1.245820522E-1
2.058894773E1,-7.511535287E-2,5.092973709E-1,-1.773395538E-1
2.061363645E1,-5.125468969E-2,6.358919144E-1,-1.848731041E-1
2.063832517E1,-8.771193027E-2,6.970195770E-1,-2.073817253E-1
2.066301390E1,-9.371185303E-2,7.553501129E-1,-2.301506996E-1
2.068770262E1,-1.381065547E-1,6.940717697E-1,-1.912291050E-1
2.071239134E1,-1.085076034E-1,5.855264664E-1,-1.832938194E-1
2.073708006E1,-9.604787827E-2,4.230346680E-1,-1.318538189E-1
2.076176878E1,-1.082769036E-1,2.403039932E-1,-1.254096031E-1
2.078645750E1,-1.331621408E-1,-9.385108948E-3,-3.854846954E-2
2.081114622E1,-7.596799731E-2,-1.936187744E-1,-1.408934593E-2
2.083583494E1,-9.102749825E-2,-3.862104416E-1,3.660416603E-2
2.086052366E1,-7.716670632E-2,-5.534372330E-1,4.724955559E-2
2.088518186E1,-8.874160051E-2,-6.810426712E-1,8.324837685E-2
2.090987058E1,-6.570377946E-2,-7.716512680E-1,8.347463608E-2
2.093455930E1,-8.139440417E-2,-7.585763931E-1,9.555840492E-2
2.095927854E1,-4.007562995E-2,-7.332563400E-1,5.536484718E-2
2.098393675E1,-3.207489848E-2,-5.930871964E-1,-8.301496506E-3
2.100862547E1,-2.589485049E-2,-4.175882339E-1,-6.479716301E-2
2.103334471E1,-1.459786296E-2,-2.293109894E-1,-4.460740089E-2
2.105800291E1,-1.425927877E-2,-1.406097412E-2,-1.354904175E-1
2.108269163E1,-1.124441624E-4,2.091112137E-1,-1.828083992E-1
2.110738035E1,-9.883344173E-4,3.954830170E-1,-2.275667191E-1
2.113206907E1,-2.423381805E-2,5.403957367E-1,-2.635240555E-1
2.115675779E1,-1.110124588E-2,6.775207520E-1,-2.909095287E-1
2.118144651E1,-2.365767956E-3,7.091159821E-1,-2.868263721E-1
2.120613523E1,-1.221260428E-2,6.904487610E-1,-2.537102699E-1
2.123082395E1,-2.921970189E-2,6.196041107E-1,-2.106575966E-1
2.125551267E1,-2.960991859E-2,4.802417755E-1,-1.456367970E-1
2.128017088E1,-4.527628422E-2,3.372364044E-1,-8.972644806E-2
2.130485960E1,-1.539793611E-2,1.369943619E-1,-2.587509155E-2
2.132954832E1,-4.645517468E-2,-1.114654541E-1,5.144238472E-2
2.135423704E1,-6.526163220E-2,-2.788553238E-1,9.073638916E-2
2.137892576E1,-2.572588623E-2,-4.378547668E-1,1.752231121E-1
2.140361448E1,-4.616940022E-2,-5.908336639E-1,2.001750469E-1
2.142830320E1,-4.474066198E-2,-6.808986664E-1,2.270700932E-1
2.145299192E1,-3.404384851E-2,-7.463207245E-1,2.807304859E-1
2.147768064E1,7.554188371E-3,-6.896982193E-1,2.457671165E-1
2.150236936E1,8.732527494E-3,-5.856866837E-1,2.131023407E-1
2.152705808E1,2.714250982E-2,-4.514656067E-1,1.608474255E-1
2.155174680E1,3.253895044E-2,-2.563238144E-1,1.053979397E-1
2.157643553E1,5.436523259E-2,-5.789470673E-2,5.372929573E-2
2.160112425E1,6.482872367E-2,1.315603256E-1,3.941297531E-3
2.162581297E1,9.824031591E-2,3.342161179E-1,-9.398722649E-2
2.165050169E1,9.207488596E-2,5.352687836E-1,-1.096711159E-1
2.167515989E1,8.671340346E-2,6.225490570E-1,-1.480350494E-1
2.169984861E1,7.059244812E-2,7.206382751E-1,-1.907188892E-1
2.172453733E1,8.676105738E-2,7.317256927E-1,-1.564021111E-1
2.174922605E1,5.338162184E-2,6.657590866E-1,-9.588170052E-2
2.177391477E1,5.126735568E-2,5.638380051E-1,-9.476852417E-2
2.179860350E1,2.512288094E-2,4.287471771E-1,-9.778261185E-3
2.182329222E1,1.953379810E-2,2.236375809E-1,4.639697075E-2
2.184798094E1,6.066694856E-3,2.355575562E-4,1.006710529E-1
2.187266966E1,1.619271934E-2,-1.532516479E-1,1.610257626E-1
2.189735838E1,-2.273450792E-2,-3.381376266E-1,2.063283920E-1
2.192204710E1,-3.837160766E-2,-5.581102371E-1,2.045540810E-1
2.194673582E1,-1.674693823E-2,-6.244611740E-1,2.467806339E-1
2.197142454E1,-4.865425825E-2,-6.999263763E-1,2.547876835E-1
2.199611326E1,-6.012983620E-2,-6.701383591E-1,2.618911266E-1
2.202080198E1,-9.218057990E-2,-5.928955078E-1,2.274370193E-1
2.204549070E1,-1.015688628E-1,-5.043373108E-1,1.593551636E-1
2.207017942E1,-9.579007328E-2,-3.401794434E-1,1.173019409E-1
